[191 @   __init__()] got replica id
[472 @     fsinit()] fsinit
[412 @     access()] access / 4
[229 @    getattr()] getattr /.xdg-volume-info
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /autorun.inf
[229 @    getattr()] getattr /.Trash
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /.Trash-1000
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /autorun.inf
[229 @    getattr()] getattr /
[412 @     access()] access / 4
[412 @     access()] access / 2
[412 @     access()] access / 1
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /
[412 @     access()] access / 2
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /.Trash-1000
[412 @     access()] access / 2
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /.hidden
[412 @     access()] access /ass7 4
[412 @     access()] access /ass7 2
[412 @     access()] access /ass7 1
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /ass7/ee
[229 @    getattr()] getattr /
[412 @     access()] access /ass7 2
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /.Trash-1000
[412 @     access()] access / 2
[254 @    readdir()] readdir /ass7
[229 @    getattr()] getattr /ass7/mytraceroute_16CS10012.c
[229 @    getattr()] getattr /ass7/.hidden
[412 @     access()] access /ass7/mytraceroute_16CS10012.c 4
[412 @     access()] access /ass7/mytraceroute_16CS10012.c 2
[412 @     access()] access /ass7/mytraceroute_16CS10012.c 1
[229 @    getattr()] getattr /ass7
[229 @    getattr()] getattr /ass7/yay
[412 @     access()] access /ass7/yay 4
[412 @     access()] access /ass7/yay 2
[412 @     access()] access /ass7/yay 1
[412 @     access()] access / 2
[229 @    getattr()] getattr /.Trash
[229 @    getattr()] getattr /.Trash-1000
[412 @     access()] access / 2
[254 @    readdir()] readdir /
[229 @    getattr()] getattr /ass7
[412 @     access()] access /ass7 4
[412 @     access()] access /ass7 2
[412 @     access()] access /ass7 1
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /
[412 @     access()] access / 4
[412 @     access()] access / 2
[412 @     access()] access / 1
[229 @    getattr()] getattr /
[412 @     access()] access / 4
[412 @     access()] access / 2
[412 @     access()] access / 1
[229 @    getattr()] getattr /
[229 @    getattr()] getattr /
[412 @     access()] access / 2
[229 @    getattr()] getattr /.Trash
